,,,,,Argentine ant Mortality,,,Monomorium Mortality,,,Individual Aggression,,,,,Maximum agression,,,,,Venom use,,,Individual Aggression Rel%,,,,,Maximum agression Rel%,,,,,Venom use Rel%,,,Combined Rel%,
8/10/2009,P,3,M. antipodum,20,0,1,3,0,1,4,1,10,6,2,0,0,7,8,2,0,13,2,0,0.05,0.53,0.32,0.11,0,0,0.41,0.47,0.12,0,0.87,0.13,0,4.84,1.88
8/10/2009,B,4,M. antipodum,20,0,0,1,0,0,3,5,5,9,1,0,9,4,5,0,0,15,0,0,0.25,0.25,0.45,0.05,0,0.5,0.22,0.28,0,0,1,0,0,4.7,0
8/10/2009,E,5,M. antipodum,20,0,0,1,0,0,4,3,5,7,1,0,6,5,9,0,0,13,2,0,0.19,0.31,0.44,0.06,0,0.3,0.25,0.45,0,0,0.87,0.13,0,4.75,0
12/10/2009,B,6,M. antipodum,20,0,0,4,0,0,9,0,11,3,3,0,0,6,7,2,0,10,4,0,0,0.65,0.18,0.18,0,0,0.4,0.47,0.13,0,0.71,0.29,0,5.06,2.13
8/10/2009,I,1,M. antipodum,40,0,0,2,0,0,8,2,6,7,4,0,3,6,6,1,0,11,4,0,0.11,0.32,0.37,0.21,0,0.19,0.38,0.38,0.06,0,0.73,0.27,0,5.42,1
8/10/2009,F,2,M. antipodum,40,0,0,5,0,0,6,2,5,12,1,0,0,2,11,8,0,11,10,0,0.1,0.25,0.6,0.05,0,0,0.1,0.52,0.38,0,0.52,0.48,0,4.85,6.1
29/09/2009,I,3,M. antipodum,40,0,0,4,0,0,2,2,5,13,0,0,0,0,9,11,0,6,14,0,0.1,0.25,0.65,0,0,0,0,0.45,0.55,0,0.3,0.7,0,4.65,8.8
29/09/2009,S,4,M. antipodum,40,0,0,2,0,0,9,0,8,5,7,0,0,4,7,8,0,10,7,0,0,0.4,0.25,0.35,0,0,0.21,0.37,0.42,0,0.59,0.41,0,6,6.74
8/10/2009,F,5,M. antipodum,40,0,0,4,0,0,11,0,3,13,2,0,0,1,15,1,0,14,3,0,0,0.17,0.72,0.11,0,0,0.06,0.88,0.06,0,0.82,0.18,0,5.28,0.94
12/10/2009,R,6,M. antipodum,40,0,1,9,0,1,4,1,6,13,1,1,0,0,6,13,2,6,14,3,0.05,0.27,0.59,0.05,0.05,0,0,0.29,0.62,0.1,0.26,0.61,0.13,4.64,9.9
25/09/2009,K,1,M. antipodum,80,0,0,7,0,0,3,5,4,12,1,0,0,3,13,4,0,17,5,0,0.23,0.18,0.55,0.05,0,0,0.15,0.65,0.2,0,0.77,0.23,0,4.77,3.2
